Id	Easting Northing  Deaths.1977.85  Under.5.1981
056       19       54              8          252
057       17       47              2           45
058       37       87              5          360
059       42       82              8          366
060       36       79              1           54
062       31       86              2           36
063       34       71              2           72
064       25       59              1           27
069       42       70              6          708
070       42       68              2          234
071       42       66             15          522
072       42       65              6          183
073       42       64              6          165
074       43       62              3          225
076       44       60              2           93
077       45       59              5          225
078       45       56              3          144
079       43       54              1          120
080       46       52              5          336
081       48       49              4          369
082       39       52              3          534
083       40       55              8          429
084       38       55             20          858
085       42       58             13          756
086       41       52              4          354
087       38       65              3           72
088       39       61              2           63
089       40       73              0           45
090       32       61              3           75
091       35       57              1          114
093       49       47              2          180
094       50       45              4          282
095       48       45              2          144
097       42       51              5          402
098       42       48              4          168
100       35       52             10          699
102       37       51              8          423
104       38       48              7          408
105       41       48              3          165
107       28       36              7          195
108       27       33             15          273
110       29       28              9          522
111       31       29              8          372
113       34       30             14          369
114       34       27             12          429
116       30       33             10          447
117       32       32              5          222
118       29       31              6          264
119       32       26              5          432
120       31       23              3          201
121       34       25              4          189
122       30       44              9          327
123       30       41              4          198
124       30       39              4          279
125       30       36             10          306
126       29       25              6          306
127       28       22              8          162
128       27       19              3          189
129       25       26              4          315
130       23       31              7          429
131       20       36              3          141
132       24       37              8          522
133       27       39              6          570
134       25       51              8          435
135       27       45             24          981
136       22       43             15          858
137       19       41              1          138
140       43       40              8          204
141       45       41              5           39
142       44       39              1            6
143       46       38              5           90
144       37       31             15          486
145       38       30             11          324
146       36       28              4          165
147       36       26              1          189
148       35       33              5          438
149       36       35              2          153
150       38       37             13          375
151       40       39             14          234
152       42       42              3          219
153       41       41             11          435
154       41       39             26          933
155       42       38              5           99
156       44       38              4           81
158       45       32              1           93
159       47       39              4          234
159a      45       37              5          183
160       50       34              8          393
161       48       37              5          303
162       50       37              4          339
163       53       36             11          450
164       52       39              4          258
165       54       40              1          135
166       56       39              5          168
167       58       40              2          153
168       59       39              6          177
169       58       36              4          288
170       58       34              9          516
171       58       32             16          318
172       56       35              4          201
174       46       36              2           66
175       42       36             12          309
176       40       36              5          261
177       41       33              7          516
178       39       35             12          285
179       38       32             12          495
181       44       38             14          255
182       43       35             12          444
183       44       32              7          465
185       43       30              3          261
186       45       30              3          225
187       44       28              5          414
188       41       30              9          471
189       40       27              9          459
190       42       26              4          282
193       47       32              3          150
193a      47       34             11          225
194       49       32             10          228
195       52       28              2           21
197       47       29             10          288
198       47       27             17          366
199       49       29              5          204
200       49       27              9          216
202       52       32             17          378
203       55       32             10          309
204       53       30             18          480
205       55       26             10          384
206       58       30             17          348
215       68       32              9          351
216       66       32              6          450
218       57       23             29          543
219       55       21             12          423
221       55       15              8          399
222       57       17             11          345
223       59       17             11          339
224       58       15              3          288
226       64       35              8          306
227       63       31             24         1359
228       61       31              4          372
229       59       28              7          330
230       61       28              7          360
231       64       25              4          192
232       73       21              1          162
233       77       33              3          183
234       58       20             15          528
235       60       20             34          795
236       60       18             27          891
237       65       17             26         1209
238       70        8              8          357
239       66        4             13          618
240       47       22             11          528
241       49       19             31         1248
242       48       13              7          186
243       54       18             17          918
244       51       21             14          387
245       52       19             38         1290
246       57       11              4          255
247       59        8             27         1407
248       58        5             10          570
249       63        8             10          306
250       61        9              6          312
251       62        5             18          594
252       82       18              2          177
254       67        0              5          177
255       68       -2             28          762
256       70        1             18          714
257       73       -1              3          303
